date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-12-08,3.9,3.4,4.4,,,81,14.5,31.5,1011.4,
2024-12-09,3.8,3.5,4.2,,,35,17.8,37,1023.8,
2024-12-10,3.4,2.5,3.9,,,50,15.3,33.3,1031.2,
2024-12-11,2.1,1.3,3.2,,,6,8.1,20.4,1033.1,
2024-12-12,1.8,0.8,3.4,,,183,9.1,20.4,1032,
2024-12-13,0.9,-0.9,1.9,,,143,11.5,24.1,1028.4,
2024-12-14,-0.3,-2.1,2.1,,,234,14.8,37,1016.9,
2024-12-15,4.9,2.6,7.7,,,267,21.6,51.8,1017.9,
2024-12-16,10.1,8.2,10.6,,,267,27.7,61.1,1020.8,
2024-12-17,9.3,8.1,9.8,,,263,21.2,53.7,1023.3,
2024-12-18,8,5.3,10.4,,,212,18,42.6,1014.6,
2024-12-19,10.6,7.6,12.7,,,230,22.7,50,998.9,
2024-12-20,6,4.4,7.1,,,272,22.4,53.7,1010.2,
2024-12-21,5.3,3.2,7.2,,,221,19.5,44.5,1011.9,
2024-12-22,6.1,4.3,7,,,239,17.3,44.5,996.4,
2024-12-23,3.8,2.6,5,,,251,17,38.9,1004.8,
2024-12-24,3.7,1.8,4.8,,,276,13.1,38.9,1023.2,
2024-12-25,3.7,1.5,5.6,,,200,9.8,20.4,1034.1,
2024-12-26,6.5,5.7,8,,,204,6.2,14.8,1037.7,
2024-12-27,4.8,2.2,6.1,,,155,5.7,13,1035.7,
2024-12-28,0.8,-0.6,1.8,,,200,6.5,13,1030.7,
2024-12-29,-0.3,-1.8,1.9,,,247,11.8,29.6,1027,
2024-12-30,2.5,1.9,3.1,,,240,17.9,37,1026.1,
2024-12-31,2.6,2.1,3.5,,,233,16.2,35.2,1024.2,
